Fe,mass,Pd,Pt
0.00088463,0.011051,0.0022581,0.0034847
0.00076392,0.011022,0.0021431,0.0041294
0.00065151,0.011114,0.0020931,0.0048256
0.00056562,0.011201,0.0020975,0.005459
0.00050315,0.011164,0.0021297,0.0058842
0.00046901,0.011141,0.0021643,0.0059417
0.00045688,0.01118,0.0021888,0.0054752
0.00046781,0.011369,0.0021637,0.0047786
0.00049915,0.01155,0.0021104,0.0039949
0.00055342,0.011755,0.0020201,0.0033515
0.0006312,0.012016,0.0019198,0.0029139
0.00073852,0.012129,0.0018085,0.0027216
0.00085918,0.012134,0.0017078,0.0027279
0.00097752,0.012016,0.0016079,0.0028976
0.0010688,0.011855,0.0015196,0.0032427
0.0011057,0.011627,0.0014358,0.0036312
0.0011069,0.011449,0.0013575,0.0040432
0.0012049,0.013644,0.0014121,0.0050157
0.0017133,0.023759,0.001787,0.008176
0.0017551,0.022587,0.0017421,0.0077267
0.0018086,0.022006,0.001739,0.0075279
0.0018704,0.021531,0.0017848,0.0074072
0.0019095,0.02153,0.0018578,0.0074738
0.0018979,0.021274,0.0019346,0.0075761
0.0018315,0.021536,0.0019945,0.0075886
0.0022714,0.027494,0.0035056,0.010219
0.0025193,0.031659,0.0047057,0.011506
0.002344,0.030894,0.0041776,0.0098068
0.0023029,0.031845,0.0038705,0.0079896
0.0023436,0.032928,0.0036692,0.0064247
0.0024381,0.032739,0.0035512,0.00513
0.0025343,0.033553,0.0034594,0.0042387
0.003535,0.058188,0.0064929,0.019224
0.0038279,0.067301,0.0074855,0.024399
0.0036482,0.06643,0.0070378,0.02008
0.0033752,0.065862,0.0068455,0.018869
0.0030242,0.066765,0.0067783,0.019456
0.0026656,0.06717,0.0068699,0.02218
0.0034073,0.076676,0.0095728,0.031434
0.0033171,0.081424,0.010845,0.04042
0.0024944,0.08166,0.0098917,0.045102
0.001984,0.081423,0.0088642,0.047887
0.0017019,0.080722,0.0078183,0.047706
0.0043376,0.090255,0.012375,0.094177
0.01202,0.10156,0.020539,0.18968
0.013177,0.10023,0.018559,0.17562
0.013487,0.097509,0.015922,0.15328
0.017309,0.13198,0.018634,0.25152
0.022386,0.17518,0.02213,0.42167
0.028817,0.23222,0.026375,0.68899
0.035646,0.28335,0.029575,0.82599
0.043725,0.34105,0.033877,0.98215
0.050378,0.38341,0.037021,1.0698
0.053015,0.37201,0.036821,0.97882
0.053623,0.3651,0.036518,0.87071
0.05357,0.36133,0.036939,0.77494
0.052121,0.35586,0.037438,0.68505
0.049878,0.35306,0.038854,0.61812
0.04786,0.35976,0.041727,0.57112
0.046735,0.37496,0.045593,0.54277
0.046647,0.39161,0.051181,0.51875
0.047905,0.40762,0.057649,0.49869
0.051665,0.42814,0.064116,0.48477
0.057015,0.4541,0.070856,0.47917
0.063923,0.47904,0.077286,0.48378
0.072163,0.50125,0.084295,0.50117
0.081182,0.52903,0.092667,0.52981
0.091261,0.56219,0.10374,0.57443
0.10303,0.60403,0.11762,0.62703
0.11575,0.66523,0.13373,0.68974
0.13092,0.74781,0.15413,0.7576
0.15018,0.83548,0.1762,0.82832
0.17483,0.94432,0.20083,0.88952
0.20789,1.0686,0.22686,0.95268
0.25105,1.2034,0.25495,1.0146
0.29895,1.2121,0.281,0.9737
0.35187,1.1797,0.30557,0.9041
0.41915,1.1582,0.33326,0.83152
0.42024,0.7978,0.35447,0.66134
0.41492,0.53464,0.38118,0.51057
0.40596,0.35542,0.41136,0.38665
0.48459,0.40077,0.47104,0.37994
0.53463,0.4043,0.527,0.35956
0.40063,0.17707,0.49293,0.2713
0.30647,0.081163,0.46955,0.21287
0.32111,0.087084,0.52875,0.21682
0.33804,0.095324,0.5946,0.23249
0.36445,0.10422,0.67455,0.30132
0.29744,0.067191,0.63388,0.13767
0.1883,0.024527,0.5026,0.016789
0.1944,0.027224,0.57023,0.0162
0.20974,0.032505,0.66412,0.017517
0.22946,0.040157,0.7784,0.01905
0.27184,0.049043,1.0308,0.02274
0.2025,0.032913,0.69062,0.013557
0.04424,0.0049041,0.065867,0.0011889
0.046758,0.0048275,0.068612,0.0011397
0.049618,0.0047607,0.071302,0.0012082
0.053837,0.0048263,0.07538,0.001419
0.057744,0.0052006,0.081514,0.0019126
0.081578,0.0064353,0.11895,0.0031796
0.018381,0.0020075,0.025584,0.0012099
0.00059507,0.00019628,0.00066967,0.00013606
0.00059963,0.00020022,0.00071051,0.00017744
0.00062242,0.00020557,0.00078407,0.00023287
0.00066965,0.00020894,0.00093081,0.00030742
0.00075802,0.0002317,0.0012308,0.00041716
0.0009123,0.00084789,0.0018062,0.00057735
0.00123,0.0028001,0.0030496,0.00079749
0.00027543,0.00033966,0.00074102,0.00037712
0.00014254,0.00014405,0.00043118,0.00029759
0.00012096,0.00013397,0.00040129,0.00029431
0.00010422,0.00012222,0.00036214,0.00027559
9.35E-05,0.00011022,0.00031092,0.00024839
8.55E-05,0.00010211,0.00026131,0.00022251
8.10E-05,9.96E-05,0.0002183,0.00020193
7.87E-05,9.96E-05,0.00018385,0.00018917
7.83E-05,0.00010274,0.00016054,0.00018872
7.85E-05,0.00010593,0.00014543,0.00019643
7.86E-05,0.00010886,0.00013826,0.00020763
7.91E-05,0.00010988,0.00013583,0.00022368
7.89E-05,0.00011365,0.00013624,0.00022947
7.80E-05,0.00011659,0.00013997,0.00022313
7.63E-05,0.00011976,0.0001445,0.00020573
7.41E-05,0.00012154,0.00015036,0.00018506
7.01E-05,0.00012232,0.00015555,0.0001667
6.74E-05,0.00012108,0.00015883,0.00015773
6.42E-05,0.00012422,0.00015747,0.00015716
0.0010771,0.0094332,0.0024878,0.0022724
0.00091249,0.0093427,0.0023173,0.002689
0.00077346,0.0093474,0.0022209,0.0032167
0.00065811,0.009428,0.0021833,0.0038256
0.00057341,0.0094103,0.0021926,0.0043249
0.0005164,0.0093999,0.002217,0.0046121
0.00048604,0.0093862,0.0022336,0.0045684
0.00047526,0.0095032,0.0022221,0.0041791
0.00048603,0.009667,0.0021842,0.0035784
0.00051624,0.0098306,0.0021111,0.0030042
0.00056685,0.010039,0.0020169,0.0025483
0.00064562,0.010294,0.0019122,0.0022363
0.00074624,0.010382,0.0018072,0.0021377
0.00085466,0.010368,0.0017001,0.0021973
0.0009523,0.010288,0.0015963,0.0023884
0.0010191,0.010158,0.0015014,0.0027154
0.0010407,0.0099703,0.0014068,0.0030892
0.0013747,0.015185,0.0016293,0.0048961
0.0016951,0.020029,0.0017966,0.0064681
0.0017486,0.019061,0.0017253,0.006254
0.0018186,0.018433,0.0017058,0.0060785
0.0018881,0.018032,0.0017253,0.0059534
0.0019397,0.01789,0.0017762,0.0059413
0.0019459,0.017763,0.0018338,0.0060144
0.0021115,0.019673,0.002339,0.0069208
0.0028464,0.026907,0.0047534,0.01056
0.0025897,0.025616,0.0041815,0.0096001
0.0024647,0.02571,0.0038327,0.0084078
0.0024124,0.026569,0.0035914,0.007115
0.0024551,0.026838,0.0034317,0.0057756
0.0025315,0.027233,0.0033182,0.0046217
0.0033952,0.044485,0.0056472,0.015024
0.0040112,0.05661,0.0073315,0.022834
0.0039699,0.055486,0.0069343,0.015949
0.0038662,0.055015,0.0068179,0.013173
0.0036601,0.055789,0.0068058,0.012245
0.0037026,0.057775,0.007417,0.013214
0.0048703,0.06574,0.010347,0.018488
0.004422,0.068327,0.01098,0.023594
0.0033477,0.067984,0.010114,0.028074
0.0025727,0.068044,0.0091546,0.032692
0.0044995,0.089523,0.01405,0.074963
0.011657,0.13104,0.027164,0.21522
0.01615,0.17003,0.034059,0.3257
0.016166,0.22218,0.036087,0.43286
0.018192,0.29212,0.040437,0.6279
0.022234,0.37878,0.046347,0.90921
0.024806,0.37077,0.043843,0.84804
0.027712,0.34483,0.040945,0.75512
0.031175,0.32644,0.038676,0.68968
0.034863,0.31054,0.037086,0.65066
0.038742,0.29501,0.036417,0.62242
0.042281,0.28236,0.036154,0.59416
0.046367,0.27642,0.036526,0.56621
0.049533,0.2744,0.037205,0.53036
0.052145,0.27382,0.038122,0.49107
0.05425,0.27259,0.039128,0.44889
0.055028,0.27401,0.040839,0.41958
0.055585,0.28094,0.043756,0.39972
0.055761,0.29254,0.047587,0.38287
0.056745,0.30624,0.052596,0.36724
0.058195,0.3191,0.058814,0.34967
0.060984,0.33389,0.064879,0.32991
0.064699,0.34727,0.070842,0.3119
0.069344,0.3601,0.07685,0.30084
0.075531,0.37516,0.082706,0.30005
0.083101,0.39111,0.089654,0.31178
0.092746,0.41219,0.096984,0.33671
0.10408,0.43856,0.10617,0.37371
0.1182,0.47383,0.11568,0.41972
0.13385,0.51912,0.1262,0.47458
0.15203,0.56575,0.13903,0.52824
0.17474,0.62162,0.15431,0.57744
0.20247,0.67852,0.1725,0.62069
0.23851,0.7386,0.1939,0.65652
0.28486,0.83092,0.21813,0.69741
0.34649,0.94439,0.2466,0.74072
0.42108,1.0804,0.27973,0.77668
0.51157,1.2558,0.31632,0.8042
0.61833,1.4379,0.36176,0.81682
0.70939,1.5119,0.41407,0.78804
0.66937,1.0342,0.45915,0.58455
0.62303,0.71376,0.51177,0.43841
0.60454,0.55754,0.57812,0.3445
0.55318,0.38929,0.615,0.27766
0.38879,0.14605,0.57473,0.19201
0.31529,0.077021,0.57795,0.15637
0.337,0.085741,0.65276,0.17112
0.36629,0.097271,0.73905,0.22387
0.33771,0.079472,0.73693,0.15161
0.21838,0.030327,0.57965,0.019126
0.20888,0.02673,0.59924,0.011557
0.22755,0.031624,0.68056,0.012686
0.24928,0.038262,0.78339,0.014241
0.2956,0.046159,1.0524,0.018037
0.16637,0.022163,0.47048,0.0074139
0.044521,0.0041359,0.06252,0.00090269
0.045579,0.0041002,0.065609,0.00095549
0.047588,0.0040725,0.069616,0.0011189
0.050366,0.0042662,0.075393,0.0014551
0.055048,0.0047553,0.084521,0.0021824
0.090092,0.0062302,0.1459,0.0040903
0.0023204,0.00043312,0.0031712,0.00033577
0.00051704,0.00016092,0.00065549,0.00015895
0.00053197,0.00016412,0.00070814,0.00020528
0.00056544,0.00016857,0.00082385,0.0002647
0.00062196,0.00018336,0.0010658,0.0003474
0.00072633,0.00044292,0.0015303,0.00046324
0.00093908,0.0015848,0.0024994,0.00062454
0.00048417,0.00085659,0.0015046,0.00046532
0.00013049,0.000115,0.00043437,0.00024095
0.00011428,0.00010589,0.00039777,0.00023333
0.0001027,9.51E-05,0.00035066,0.00021745
9.47E-05,8.63E-05,0.00029747,0.00019845
8.96E-05,8.13E-05,0.0002489,0.00018111
8.68E-05,8.08E-05,0.00020879,0.00016929
8.58E-05,8.15E-05,0.00017978,0.00016488
8.59E-05,8.46E-05,0.00016073,0.00016744
8.64E-05,8.74E-05,0.00015025,0.00017639
8.62E-05,8.90E-05,0.00014631,0.00018691
8.57E-05,9.11E-05,0.00014601,0.00019371
8.40E-05,9.44E-05,0.00014879,0.0001928
8.18E-05,9.65E-05,0.00015279,0.00018295
7.95E-05,9.86E-05,0.0001573,0.00016448
7.66E-05,9.90E-05,0.00016153,0.00014585
7.37E-05,9.83E-05,0.00016322,0.00013275
7.15E-05,0.00010024,0.00016249,0.00012589
6.99E-05,0.00010236,0.0001565,0.00012664
0.0014179,0.0090194,0.0028878,0.0016633
0.001194,0.0089303,0.0026577,0.0019221
0.0010059,0.0088711,0.0025055,0.0022976
0.00084825,0.0088623,0.0024181,0.0027594
0.00072994,0.0088651,0.0023908,0.0032803
0.00064186,0.0088389,0.0023983,0.0036874
0.0005842,0.0088223,0.0024009,0.0038748
0.0005532,0.0088424,0.0023969,0.0037524
0.00054218,0.0089945,0.0023567,0.0034028
0.00055083,0.009147,0.0022919,0.002921
0.00058367,0.0093228,0.0022036,0.0024586
0.00063841,0.0095591,0.0021039,0.002116
0.00071966,0.0097801,0.001996,0.0019155
0.00081715,0.0098255,0.0018864,0.0018801
0.00091512,0.0098107,0.0017732,0.0019929
0.00098727,0.0097498,0.00166,0.002237
0.0010271,0.0096124,0.0015527,0.0025778
0.001629,0.018849,0.0020062,0.0052146
0.0017519,0.018793,0.001929,0.0055933
0.0018164,0.017881,0.0018364,0.0056097
0.0018912,0.017119,0.0017892,0.0055317
0.0019598,0.016664,0.0017694,0.0054139
0.0020206,0.016381,0.0017826,0.0053412
0.0020471,0.016369,0.0018207,0.0053381
0.002821,0.022334,0.0036745,0.0081815
0.0029897,0.024085,0.004365,0.009241
0.0027804,0.023665,0.0039518,0.008645
0.0026692,0.02396,0.00366,0.0078301
0.0026154,0.024527,0.0034503,0.006886
0.0026326,0.024218,0.0033022,0.005841
0.0033343,0.036648,0.0050179,0.014554
0.0041236,0.052045,0.0072747,0.028429
0.0041246,0.050308,0.0068459,0.018245
0.0041504,0.050258,0.0067676,0.013366
0.0040938,0.050156,0.0068197,0.010637
0.0049952,0.059786,0.0087351,0.012111
0.0079985,0.08797,0.014941,0.021648
0.0082396,0.11375,0.018062,0.03452
0.0077114,0.14188,0.020144,0.054695
0.009932,0.18527,0.026827,0.11102
0.022334,0.26453,0.049077,0.33154
0.031838,0.31947,0.065489,0.63775
0.024855,0.33458,0.059205,0.75476
0.020858,0.34767,0.054572,0.866
0.019378,0.34381,0.050109,0.82514
0.019024,0.32303,0.045841,0.6645
0.019891,0.30921,0.042725,0.53706
0.021908,0.29425,0.040946,0.4567
0.024716,0.27953,0.039849,0.40373
0.028198,0.269,0.039138,0.37822
0.032053,0.25858,0.038827,0.368
0.035945,0.24744,0.038509,0.36557
0.040154,0.24166,0.038976,0.36913
0.044477,0.23854,0.039195,0.36244
0.049282,0.23437,0.039659,0.35024
0.053508,0.22942,0.040408,0.33122
0.058193,0.22791,0.041106,0.31546
0.062634,0.23107,0.04252,0.30103
0.065742,0.23831,0.044799,0.29271
0.068503,0.2473,0.047792,0.28914
0.069727,0.25687,0.052172,0.28155
0.070583,0.26906,0.057838,0.26701
0.071261,0.28178,0.063639,0.25023
0.072384,0.29029,0.069243,0.22906
0.074395,0.30101,0.075158,0.2129
0.077835,0.31178,0.080568,0.21031
0.083953,0.32269,0.086126,0.21734
0.092777,0.33851,0.0916,0.23303
0.10523,0.3628,0.096077,0.26064
0.12015,0.39448,0.10077,0.29799
0.13784,0.42588,0.10548,0.34003
0.15746,0.46319,0.11234,0.38279
0.17906,0.5025,0.12142,0.42295
0.20428,0.54012,0.13489,0.45244
0.23442,0.58041,0.15405,0.47369
0.27196,0.63401,0.17622,0.49251
0.31623,0.69463,0.20405,0.51146
0.37082,0.76945,0.23702,0.52728
0.43516,0.84938,0.27598,0.53479
0.50784,0.93069,0.32291,0.53464
0.59493,1.0317,0.37853,0.5308
0.70019,1.1927,0.44549,0.53102
0.82018,1.3875,0.52635,0.53363
0.87464,1.3757,0.61064,0.51549
0.85931,1.1643,0.7018,0.47572
0.83978,1.0099,0.80213,0.45356
0.67113,0.5608,0.80312,0.3756
0.48002,0.22706,0.74903,0.27737
0.43346,0.16105,0.77305,0.24259
0.44822,0.15661,0.83966,0.26314
0.43858,0.13251,0.85989,0.22996
0.27263,0.043448,0.65021,0.028066
0.23148,0.028176,0.61189,0.0101
0.24632,0.032501,0.68442,0.011385
0.26198,0.038478,0.77657,0.013214
0.30791,0.046142,1.0834,0.017543
0.12726,0.015898,0.32363,0.0048909
0.042147,0.0039516,0.062622,0.00090457
0.042556,0.0038814,0.067027,0.0010487
0.044773,0.0040109,0.072629,0.0013531
0.04795,0.0043201,0.079747,0.00196
0.064953,0.0052998,0.11001,0.0033743
0.029334,0.002675,0.048466,0.0022946
0.00048682,0.00015384,0.0006538,0.0001685
0.00050012,0.0001573,0.00069479,0.00021048
0.00051807,0.00016349,0.00078548,0.0002607
0.00055318,0.00017196,0.00099298,0.00032602
0.00062482,0.000254,0.0013863,0.00041999
0.00077922,0.00096691,0.002147,0.00055514
0.00090372,0.0021914,0.0029985,0.00065165
0.00013699,0.000108,0.00045714,0.00022779
0.00012442,9.96E-05,0.00040998,0.00022164
0.00011607,8.92E-05,0.00035353,0.00021022
0.00011014,8.11E-05,0.00029714,0.00019362
0.0001069,7.94E-05,0.00024689,0.0001804
0.00010495,7.83E-05,0.00020987,0.00017322
0.00010427,8.13E-05,0.00018476,0.00017095
0.00010446,8.45E-05,0.00016894,0.0001749
0.00010375,8.72E-05,0.00016228,0.00018206
0.00010192,8.85E-05,0.00016052,0.00018828
9.98E-05,9.20E-05,0.00016204,0.00018931
9.71E-05,9.32E-05,0.00016574,0.00018266
9.34E-05,9.51E-05,0.0001694,0.00016567
9.04E-05,9.65E-05,0.00017316,0.00014659
8.80E-05,9.73E-05,0.00017476,0.00012959
8.62E-05,9.76E-05,0.00017358,0.0001187
8.58E-05,0.00010029,0.00016864,0.00011399
8.59E-05,0.00010071,0.00015986,0.00011435
0.0019421,0.0087686,0.003354,0.0012622
0.0016119,0.0086576,0.0030637,0.0013924
0.0013484,0.008583,0.0028535,0.0016272
0.0011282,0.0085443,0.0027189,0.0019443
0.00095597,0.0085361,0.002655,0.0023385
0.00083419,0.0084457,0.00264,0.0027488
0.00074592,0.008411,0.0026281,0.0030566
0.00068676,0.0083841,0.0026095,0.00314
0.00065632,0.0084843,0.0025699,0.002981
0.00064136,0.0086023,0.0025001,0.002673
0.00065275,0.0087613,0.0024159,0.0022995
0.00068752,0.0089627,0.0023214,0.0019601
0.0007524,0.0091943,0.002209,0.0017419
0.00083196,0.0093511,0.0021043,0.0016208
0.00092397,0.0093711,0.0019883,0.0016431
0.00099722,0.0093749,0.0018693,0.001808
0.0012282,0.011867,0.0019511,0.0025614
0.0017647,0.019228,0.0023125,0.0044825
0.0018404,0.017926,0.0021418,0.0047278
0.0019092,0.017074,0.0020239,0.0049422
0.0019776,0.016244,0.0019431,0.0049956
0.0020608,0.015742,0.0018867,0.0049747
0.0021198,0.015263,0.0018587,0.0048978
0.002557,0.017829,0.0026208,0.0059853
0.0033571,0.022784,0.0045785,0.0084257
0.0031428,0.021785,0.0040593,0.0080375
0.0029955,0.022099,0.0037591,0.0076165
0.0028925,0.022592,0.0035352,0.0071655
0.0028266,0.022454,0.0033583,0.0065295
0.0033229,0.030887,0.0045919,0.013758
0.0050032,0.063104,0.0090698,0.050546
0.005845,0.078959,0.010417,0.045566
0.0068082,0.10012,0.01232,0.044623
0.0079447,0.12682,0.015047,0.045636
0.011311,0.1739,0.022217,0.057153
0.016804,0.22737,0.033399,0.07468
0.014976,0.22069,0.031815,0.072101
0.014064,0.2138,0.030978,0.078177
0.028511,0.23695,0.049442,0.18672
0.050624,0.28299,0.076601,0.50279
0.038265,0.29973,0.069202,0.61948
0.029563,0.31,0.06169,0.69921
0.025014,0.29935,0.055052,0.63468
0.021841,0.29112,0.049338,0.55644
0.020397,0.282,0.04562,0.47452
