Gd,Co,Fe,Ce,Pt
367.8239,66.4291,210.1237,325.0926,694.3395
367.8239,66.4291,210.1237,325.0926,694.3395
391.0902,82.71124,230.5215,367.0876,733.892
401.1273,87.73031,227.3546,335.8308,764.5007
388.3958,72.53988,205.11,377.973,625.2073
389.1724,89.87217,232.3629,364.5138,637.0761
373.3962,69.89714,232.5256,363.6085,614.1794
372.7703,90.81753,236.2662,340.7519,659.6415
407.6289,101.5826,238.0599,315.431,669.2125
394.0636,90.87028,220.9481,320.9679,813.9216
353.9908,104.0101,223.2923,356.3045,825.6599
368.5753,76.38634,213.6273,366.0858,832.6362
402.2641,87.85501,219.9993,348.1386,792.5799
384.3881,89.38537,229.0699,404.34,746.0557
412.6372,73.35483,213.99,381.7985,757.3241
333.8855,104.1816,241.194,376.2667,837.1819
391.871,110.3966,208.7491,375.8192,732.0162
380.7147,51.02055,221.2938,376.9178,718.885
316.7077,93.23185,218.2918,396.4251,764.2698
350.1702,69.39818,182.227,344.3278,779.1158
368.8596,74.66456,197.6161,395.8278,773.059
332.4427,75.90424,188.8277,387.2489,892.7446
296.5018,60.69568,180.3573,388.9694,886.5485
326.1878,72.47347,165.4266,443.7941,829.5098
300.6061,64.47787,164.6038,416.882,770.4172
299.5728,78.69859,144.7293,478.5723,819.5036
248.3029,66.26791,148.5075,469.8416,813.857
258.0934,70.02615,161.5665,459.7502,809.6367
201.3108,56.84916,127.8696,498.9435,841.3195
174.5,70.68876,97.14288,561.2815,853.774
162.4269,57.43721,117.8873,529.0806,816.2051
187.2285,61.75891,85.10747,511.2445,810.0349
172.4039,59.31796,81.99792,595.0562,803.9227
180.8096,52.53155,113.3106,513.7375,790.6997
189.5482,50.8213,87.47295,577.3403,851.1371
152.6184,66.75477,92.84611,524.8748,898.3984
158.7491,55.01943,92.53031,523.7128,893.7838
140.4135,80.80309,95.75131,579.5732,858.3133
149.2093,68.59457,100.027,543.4738,882.697
136.0746,73.14171,97.10177,539.3918,862.0345
166.8946,64.46124,117.2181,539.3524,840.9464
173.6973,72.08426,105.2731,524.0337,810.311
151.5764,60.42915,110.156,637.7309,847.7772
150.3403,64.01858,139.9939,560.3015,856.04
139.518,72.0618,123.0378,565.8979,899.5231
146.8223,104.3908,146.1451,524.3801,856.1866
174.674,75.91824,149.0518,491.1188,973.3771
151.3884,118.7947,176.2028,483.6802,926.0248
122.1326,150.4331,205.4264,509.6025,958.4936
116.8049,184.3306,236.4697,437.4741,1016.215
137.9888,214.5239,294.6727,364.1428,955.8492
90.43739,320.5546,459.9456,292.1894,987.0013
100.5969,292.7998,442.5072,281.2563,912.8092
112.6952,347.2267,440.7162,227.991,969.5501
92.37083,351.5398,514.9731,232.2119,1030.151
100.9134,353.3496,515.4661,209.8465,923.9175
87.63731,404.5148,580.0233,193.3604,937.186
85.36743,423.5883,576.1845,227.3326,909.6774
87.02836,406.8059,551.385,213.0598,914.4968
95.20339,372.0715,548.7709,180.3676,881.7428
91.06687,370.6309,577.8919,168.0927,869.617
89.94468,426.345,595.6487,168.3508,868.098
77.18259,459.0822,563.6317,158.4266,898.8465
78.85422,447.8313,557.914,177.19,898.6685
85.37124,421.274,617.3801,165.6394,940.6464
85.61021,451.2539,675.5074,134.2136,868.0592
61.1987,434.6522,644.4715,141.4747,906.7349
66.30263,420.4765,657.2857,141.3011,849.1506
71.72839,455.7915,685.7868,150.5397,879.5934
89.731,480.5457,673.2136,159.7902,774.701
62.82093,453.949,689.0679,149.4419,781.8457
64.84998,490.2706,635.9137,150.3115,679.5592
87.497,458.2364,736.0627,125.6998,810.7488
85.8699,457.6515,726.0779,134.0089,842.8932
75.89176,487.8982,640.3385,161.3587,833.1176
79.61377,430.632,682.659,132.7614,825.5352
49.44727,465.7087,624.4955,140.2635,901.7557
72.20078,466.8928,762.8922,162.0754,891.1031
69.75613,466.1494,654.6431,153.0127,910.6006
85.25006,510.3343,651.6713,168.4492,875.449
76.57999,433.1457,730.0804,150.3975,900.6247
93.63387,481.1823,702.9533,173.9111,870.8926
76.26779,482.5033,696.3182,156.7439,833.5689
68.89536,450.691,678.0965,130.5401,804.8505
77.22985,500.1724,702.9963,128.5202,884.4379
88.61625,497.7749,662.3009,147.5272,836.9694
95.43229,467.5408,660.466,136.6791,843.3818
121.6345,489.0215,723.9354,151.7997,761.2567
66.60366,484.3971,659.0292,159.9579,745.7515
89.15352,470.4805,707.8232,149.3998,733.0462
73.81561,513.2227,710.6983,121.48,819.8619
75.35457,509.6443,694.9436,161.3089,785.3049
94.02033,488.8982,735.2134,141.0631,778.097
91.73103,467.9783,708.1231,134.1975,796.6005
82.48334,457.8878,713.7181,141.3566,768.3523
72.13066,491.1828,703.3611,168.3271,795.827
75.64645,525.485,646.0029,157.2951,769.6465
98.62343,503.6411,641.2881,150.0262,786.1678
98.3028,452.6008,693.8322,167.3649,779.7101
70.71124,503.0775,804.5009,148.8433,723.6146
102.1765,471.5523,658.6129,138.0089,741.2372
100.8161,478.8254,677.3,178.1853,723.045
82.53545,483.8152,703.6744,163.5384,736.5734
110.3282,487.8815,666.5807,189.7979,758.6652
85.76196,496.7976,663.4457,206.0712,754.7234
85.09853,507.3647,618.6795,181.0891,758.4915
89.57614,466.6823,631.2333,177.812,746.6387
83.48094,489.4104,703.5645,188.8929,760.7035
100.353,445.6157,672.5955,179.9411,766.9446
79.26184,465.4464,640.2385,209.4046,797.349
84.23215,456.0593,570.384,222.6397,828.6379
69.25828,499.7909,616.9263,210.7915,842.669
97.21609,422.737,635.5624,227.6113,782.4122
124.0189,414.0176,607.3338,253.054,796.6953
104.7456,390.4988,554.4945,265.3142,682.6627
98.99648,403.3635,580.3152,253.8932,767.8736
120.2069,358.5734,570.448,309.2923,777.4035
110.1359,361.3965,463.4326,288.5459,704.8596
134.3448,328.5421,460.9037,317.3024,738.0291
151.1344,255.8209,404.8123,390.3563,739.1849
146.9942,203.7598,286.586,477.9945,739.9684
187.1193,117.5924,218.1613,589.0756,736.0715
188.7053,99.58785,148.6845,600.351,704.3619
167.938,80.95912,99.61284,622.6292,681.1597
129.2646,94.07931,121.8975,655.1366,756.7447
169.1507,86.29561,112.514,639.4561,752.8724
187.1482,53.70267,112.0319,621.4887,709.9915
172.8087,70.60323,124.4398,641.9978,708.9175
182.6838,48.84075,126.4238,612.0847,678.0449
184.1902,65.55473,110.7498,648.7744,711.9804
165.611,77.44857,106.2091,636.5354,692.1638
172.4223,70.1404,102.5605,677.7284,726.9835
195.2381,74.0966,125.1582,607.063,666.8703
184.4177,66.17432,103.3028,614.1968,660.1556
175.8667,57.39626,115.5698,624.0968,712.7905
185.5208,75.4523,92.58327,670.7735,676.5719
214.293,69.8345,103.6471,665.68,719.5721
169.9256,77.22574,101.613,655.2703,673.125
199.4297,62.17298,80.6216,642.2198,661.5849
193.8981,63.85624,101.8972,604.6859,658.775
187.0706,66.55951,111.881,613.0057,670.5134
163.397,75.5322,88.30718,624.3549,656.3173
211.9842,53.99276,82.37482,631.9145,674.5494
208.0283,54.79933,84.5406,675.5981,637.5195
162.3081,45.51027,100.1809,638.1077,681.7354
153.714,79.5128,80.23357,661.1376,686.2417
213.7028,57.2436,96.60076,636.6945,653.8588
139.1309,68.94657,119.2139,632.5266,658.0933
202.0542,53.79301,97.8758,660.491,616.4409
193.0057,69.87782,108.4539,590.2112,633.2692
200.6998,87.04846,96.86116,673.9977,663.1429
173.8313,77.61049,112.9414,581.4728,737.7909
191.5041,86.36845,104.295,659.4512,648.2527
196.9273,79.37131,96.59953,658.6553,624.9507
215.2437,68.02117,134.8621,629.6824,652.9738
213.9934,73.00372,106.2685,660.3334,563.3923
184.5508,70.87905,125.5949,691.9316,641.8678
